freq,temp,util,power
1200000.00,75750.00,45.93,4.57
1200000.00,75750.00,46.21,4.57
1200000.00,75750.00,46.93,4.57
1200000.00,75750.00,47.45,4.55
1200000.00,75750.00,47.13,4.55
1200000.00,75750.00,45.70,4.55
1200000.00,75750.00,44.67,4.55
1200000.00,75689.45,44.37,4.54
1200000.00,75473.34,45.46,4.54
1200000.00,75316.60,46.25,4.54
1200000.00,75238.50,46.77,4.54
1200000.00,75471.63,46.77,4.47
1200000.00,75628.72,46.77,4.47
1200000.00,75731.76,46.68,4.47
1200000.00,75552.97,45.78,4.47
1200000.00,75334.83,44.69,4.36
1200000.00,75212.00,44.16,4.36
1200000.00,75212.00,45.36,4.36
1200000.00,75212.00,46.16,4.36
1200000.00,75212.00,46.74,4.53
1200000.00,75212.00,46.45,4.53
1200000.00,75212.00,46.19,4.53
1200000.00,75212.00,45.94,4.53
1200000.00,75303.72,46.19,4.52
1200000.00,75554.63,47.00,4.52
1200000.00,75712.90,47.50,4.52
1200000.00,75750.00,47.62,4.52
1200000.00,75750.00,47.62,4.38
1200000.00,75750.00,47.62,4.38
1200000.00,75693.60,47.42,4.38
1200000.00,75485.03,46.70,4.38
1200000.00,75258.53,45.92,4.68
1200000.00,75212.00,45.87,4.68
1200000.00,75212.00,46.27,4.68
1200000.00,75212.00,46.56,4.68
1200000.00,75212.00,46.70,4.75
1200000.00,75212.00,46.36,4.75
1200000.00,75212.00,46.09,4.75
1200000.00,75236.48,46.01,4.75
1200000.00,75473.16,47.11,4.68
1200000.00,75632.26,47.84,4.68
1200000.00,75750.00,48.17,4.68
1200000.00,75750.00,46.41,4.68
1200000.00,75750.00,44.30,4.57
1200000.00,75731.96,43.22,4.57
1200000.00,75554.27,44.40,4.57
1200000.00,75337.81,45.83,4.57
1200000.00,75229.88,46.64,4.75
1200000.00,75406.03,46.39,4.75
1200000.00,75564.86,46.16,4.75
1200000.00,75722.77,45.94,4.75
1200000.00,75750.00,45.97,4.74
1200000.00,75750.00,46.17,4.74
1200000.00,75750.00,46.30,4.74
1200000.00,75750.00,46.42,4.74
1200000.00,75750.00,46.60,4.59
1200000.00,75750.00,46.72,4.59
1200000.00,75391.33,46.75,4.59
1200000.00,75212.00,47.07,4.59
1200000.00,75212.00,47.41,4.68
1200000.00,75284.47,47.73,4.68
1200000.00,75521.05,48.09,4.68
1200000.00,75686.95,48.34,4.68
