time_stamp,volt,curr,pf,mul
1559529817699,121.4,0.05279,0.539,3.454292534
1559529817745,121.4,0.05279,0.539,3.454292534
1559529817807,121.4,0.05271,0.539,3.449057766
1559529817853,121.4,0.05271,0.539,3.449057766
1559529817900,121.4,0.05271,0.539,3.449057766
1559529817946,121.4,0.05271,0.539,3.449057766
1559529818007,121.4,0.05352,0.534,3.469573152
1559529818053,121.4,0.05352,0.534,3.469573152
1559529818099,121.4,0.05352,0.534,3.469573152
1559529818145,121.4,0.05352,0.534,3.469573152
1559529818207,121.4,0.05333,0.533,3.450781646
1559529818257,121.4,0.05333,0.533,3.450781646
1559529818304,121.4,0.05333,0.533,3.450781646
1559529818349,121.4,0.05333,0.533,3.450781646
1559529818408,121.4,0.05327,0.537,3.472767186
1559529818454,121.4,0.05327,0.537,3.472767186
1559529818499,121.4,0.05327,0.537,3.472767186
1559529818545,121.4,0.05327,0.537,3.472767186
1559529818607,121.3,0.05276,0.539,3.449485732
1559529818653,121.3,0.05276,0.539,3.449485732
1559529818698,121.3,0.05276,0.539,3.449485732
1559529818744,121.3,0.05276,0.539,3.449485732
1559529818808,121.4,0.05357,0.54,3.51183492
1559529818853,121.4,0.05357,0.54,3.51183492
1559529818900,121.4,0.05357,0.54,3.51183492
1559529818945,121.4,0.05357,0.54,3.51183492
1559529819008,121.4,0.05354,0.537,3.490368972
1559529819054,121.4,0.05354,0.537,3.490368972
1559529819100,121.4,0.05354,0.537,3.490368972
1559529819146,121.4,0.05354,0.537,3.490368972
1559529819207,121.3,0.05382,0.538,3.512260908
1559529819253,121.3,0.05382,0.538,3.512260908
1559529819299,121.3,0.05382,0.538,3.512260908
1559529819345,121.3,0.05382,0.538,3.512260908
1559529819410,121.3,0.05281,0.538,3.446348914
1559529819464,121.3,0.05281,0.538,3.446348914
1559529819510,121.3,0.05281,0.538,3.446348914
1559529819555,121.3,0.05281,0.538,3.446348914
1559529819607,121.3,0.05253,0.542,3.453563838
1559529819654,121.3,0.05253,0.542,3.453563838
1559529819699,121.3,0.05253,0.542,3.453563838
1559529819744,121.3,0.05253,0.542,3.453563838
1559529819807,121.4,0.05239,0.543,3.453559278
1559529819853,121.4,0.05239,0.543,3.453559278
1559529819899,121.4,0.05239,0.543,3.453559278
1559529819944,121.4,0.05239,0.543,3.453559278
1559529820007,121.4,0.05256,0.54,3.44562336
1559529820060,121.4,0.05256,0.54,3.44562336
1559529820106,121.4,0.05256,0.54,3.44562336
1559529820153,121.4,0.05256,0.54,3.44562336
1559529820207,121.4,0.05293,0.539,3.463453378
1559529820253,121.4,0.05293,0.539,3.463453378
1559529820299,121.4,0.05293,0.539,3.463453378
1559529820345,121.4,0.05293,0.539,3.463453378
1559529820408,121.3,0.0529,0.541,3.47147257
1559529820454,121.3,0.0529,0.541,3.47147257
1559529820500,121.3,0.0529,0.541,3.47147257
1559529820546,121.3,0.0529,0.541,3.47147257
1559529820607,121.3,0.05287,0.543,3.482330133
1559529820667,121.3,0.05287,0.543,3.482330133
1559529820714,121.3,0.05287,0.543,3.482330133
1559529820761,121.3,0.05287,0.543,3.482330133
1559529820807,121.4,0.05322,0.538,3.475968504
1559529820853,121.4,0.05322,0.538,3.475968504
1559529820899,121.4,0.05322,0.538,3.475968504
1559529820944,121.4,0.05322,0.538,3.475968504
1559529821007,121.4,0.05288,0.541,3.473020912
1559529821053,121.4,0.05288,0.541,3.473020912
1559529821099,121.4,0.05288,0.541,3.473020912
1559529821144,121.4,0.05288,0.541,3.473020912
1559529821208,121.4,0.05255,0.542,3.45772694
1559529821267,121.4,0.05255,0.542,3.45772694
1559529821321,121.4,0.05255,0.542,3.45772694
1559529821366,121.4,0.05255,0.542,3.45772694
1559529821412,121.4,0.05239,0.545,3.46627957
1559529821458,121.4,0.05239,0.545,3.46627957
1559529821504,121.4,0.05239,0.545,3.46627957
1559529821550,121.4,0.05239,0.545,3.46627957
1559529821607,121.4,0.05255,0.544,3.47048608
1559529821653,121.4,0.05255,0.544,3.47048608
1559529821699,121.4,0.05255,0.544,3.47048608
1559529821745,121.4,0.05255,0.544,3.47048608
1559529821807,121.4,0.05226,0.544,3.451334016
1559529821854,121.4,0.05226,0.544,3.451334016
1559529821902,121.4,0.05226,0.544,3.451334016
1559529821948,121.4,0.05226,0.544,3.451334016
1559529822007,121.4,0.0529,0.538,3.45506828
1559529822053,121.4,0.0529,0.538,3.45506828
1559529822099,121.4,0.0529,0.538,3.45506828
1559529822144,121.4,0.0529,0.538,3.45506828
1559529822207,121.4,0.05313,0.534,3.444290388
1559529822253,121.4,0.05313,0.534,3.444290388
1559529822298,121.4,0.05313,0.534,3.444290388
1559529822344,121.4,0.05313,0.534,3.444290388
1559529822407,121.4,0.05323,0.536,3.463697392
1559529822453,121.4,0.05323,0.536,3.463697392
1559529822499,121.4,0.05323,0.536,3.463697392
1559529822545,121.4,0.05323,0.536,3.463697392
1559529822607,121.4,0.05277,0.541,3.465796398
1559529822653,121.4,0.05277,0.541,3.465796398
1559529822699,121.4,0.05277,0.541,3.465796398
1559529822745,121.4,0.05277,0.541,3.465796398
1559529822806,121.4,0.05296,0.54,3.47184576
1559529822852,121.4,0.05296,0.54,3.47184576
1559529822899,121.4,0.05296,0.54,3.47184576
1559529822945,121.4,0.05296,0.54,3.47184576
1559529823007,121.4,0.053,0.54,3.474468
1559529823054,121.4,0.053,0.54,3.474468
1559529823100,121.4,0.053,0.54,3.474468
1559529823146,121.4,0.053,0.54,3.474468
1559529823207,121.4,0.05278,0.54,3.46004568
1559529823253,121.4,0.05278,0.54,3.46004568
1559529823299,121.4,0.05278,0.54,3.46004568
1559529823345,121.4,0.05278,0.54,3.46004568
1559529823407,121.4,0.05239,0.542,3.447199132
1559529823453,121.4,0.05239,0.542,3.447199132
1559529823499,121.4,0.05239,0.542,3.447199132
1559529823545,121.4,0.05239,0.542,3.447199132
1559529823606,121.3,0.0525,0.543,3.45795975
1559529823652,121.3,0.0525,0.543,3.45795975
1559529823698,121.3,0.0525,0.543,3.45795975
1559529823744,121.3,0.0525,0.543,3.45795975
1559529823806,121.3,0.05293,0.539,3.460600451
1559529823852,121.3,0.05293,0.539,3.460600451
1559529823898,121.3,0.05293,0.539,3.460600451
1559529823944,121.3,0.05293,0.539,3.460600451
1559529824007,121.4,0.05318,0.536,3.460443872
1559529824053,121.4,0.05318,0.536,3.460443872
1559529824099,121.4,0.05318,0.536,3.460443872
1559529824145,121.4,0.05318,0.536,3.460443872
1559529824206,121.3,0.05321,0.535,3.453089555
1559529824252,121.3,0.05321,0.535,3.453089555
1559529824306,121.3,0.05321,0.535,3.453089555
1559529824352,121.3,0.05321,0.535,3.453089555
1559529824407,121.3,0.0533,0.537,3.47186073
1559529824453,121.3,0.0533,0.537,3.47186073
1559529824499,121.3,0.0533,0.537,3.47186073
1559529824545,121.3,0.0533,0.537,3.47186073
1559529824607,121.3,0.05315,0.536,3.45564292
1559529824652,121.3,0.05315,0.536,3.45564292
1559529824698,121.3,0.05315,0.536,3.45564292
1559529824744,121.3,0.05315,0.536,3.45564292
1559529824806,121.3,0.05297,0.538,3.456790418
1559529824852,121.3,0.05297,0.538,3.456790418
1559529824903,121.3,0.05297,0.538,3.456790418
1559529824949,121.3,0.05297,0.538,3.456790418
1559529825007,121.4,0.05296,0.538,3.458987072
1559529825053,121.4,0.05296,0.538,3.458987072
1559529825099,121.4,0.05296,0.538,3.458987072
1559529825145,121.4,0.05296,0.538,3.458987072
1559529825206,121.4,0.05337,0.532,3.446890776
1559529825252,121.4,0.05337,0.532,3.446890776
1559529825298,121.4,0.05337,0.532,3.446890776
1559529825345,121.4,0.05337,0.532,3.446890776
