cache-misses,instructions,power
22482.33,141890041.10,4.00
19459.41,142016698.67,4.00
19392.70,141995886.76,4.00
19310.83,141970346.95,4.00
19248.72,141950971.40,4.00
19164.79,141934338.04,4.00
18824.92,141917951.77,4.00
18412.97,141898090.31,4.00
18110.15,141883490.45,4.00
17891.86,141872694.42,4.00
18605.39,141902871.48,4.00
19498.37,141940638.11,4.00
20263.86,141973012.78,4.00
20873.43,141999138.51,4.00
21202.51,142014286.84,4.00
21439.37,142025190.26,3.98
21674.12,142035995.97,3.98
22113.14,139507494.67,3.98
23671.54,127584423.64,3.98
24897.14,118207523.29,3.80
26125.53,108809301.27,3.80
27121.45,101102615.96,3.80
27149.41,99892307.85,3.80
27182.49,98460895.22,3.80
27207.98,97358013.02,3.80
27038.87,96391542.68,3.80
23984.58,96172896.10,3.80
19056.38,95820102.37,3.80
16184.02,95614479.69,3.80
15845.15,105964252.58,3.80
20151.82,145945335.02,3.80
23311.35,175276820.15,4.06
26454.36,204455075.90,4.06
28010.82,228781821.08,4.06
26061.49,269354848.70,4.06
24355.97,304853049.15,4.14
22737.38,338542070.75,4.14
21290.42,368814966.54,4.14
21479.04,368856399.82,4.14
21729.20,368911349.49,4.15
21910.37,368951146.48,4.15
22066.22,368986071.76,4.15
21468.57,368884782.17,4.15
21028.47,368810193.81,4.14
20594.33,368736617.05,4.14
20278.86,367880994.65,4.14
23520.97,338488991.94,4.14
27639.72,301149694.05,4.04
30813.33,272378685.60,4.04
33574.38,245519739.55,4.04
31803.32,223762061.97,4.04
29642.71,197218711.56,4.02
27990.94,176926529.66,4.02
26596.71,158322024.63,4.02
29578.55,158488159.65,4.02
33282.50,158694528.32,4.02
38057.22,158960555.31,4.02
37355.58,158915867.94,4.02
32012.17,158597400.89,4.03
29161.82,158427519.84,4.03
26542.55,158275359.19,4.03
25177.82,158300818.92,4.03
23404.51,158333901.16,4.02
22097.40,158358286.07,4.02
20889.19,158382021.64,4.02
21165.62,158422812.54,4.02
21528.22,158476320.49,4.01
21796.45,158515900.87,4.01
22037.15,158551912.38,4.01
21418.46,158481084.90,4.01
20571.05,158384074.53,4.07
19945.05,158312411.46,4.07
20151.88,158440261.80,4.07
32215.74,161533756.75,4.07
45782.12,165012538.59,4.09
56844.29,167849173.11,4.09
67666.28,170624219.50,4.09
64366.39,172602913.72,4.09
51382.69,179983461.63,4.31
44468.65,183913724.56,4.31
37706.04,187757910.39,4.31
38019.44,218254502.35,4.31
45004.48,346102611.52,4.57
48981.22,418889601.68,4.57
52873.29,490126788.91,4.57
47132.93,459985831.87,4.57
30962.82,368088467.68,4.50
21262.90,312962285.19,4.50
