cache-misses,instructions,power
5468.71,138547891.86,3.40
4680.86,138524384.73,3.40
4130.27,138507956.87,3.40
3579.69,138491529.01,3.40
5565.28,138577674.09,3.40
13464.04,138906901.51,3.40
19091.52,139141459.85,3.40
24841.34,139381117.27,3.40
34402.36,138649951.33,3.40
57068.41,135703518.03,3.40
73154.09,133612487.41,3.40
89239.77,131521456.79,3.40
107145.37,125859288.08,3.46
139714.40,109764569.47,3.46
163636.03,97943159.43,3.46
187048.69,86373268.76,3.46
183949.94,79499446.49,3.39
126217.67,78211900.19,3.39
84759.47,77287298.39,3.39
42400.01,76342596.55,3.39
18895.37,74943410.40,3.35
17057.39,71759105.47,3.35
15731.03,69461196.13,3.35
14404.68,67163286.79,3.35
17153.21,66448875.30,3.31
30239.68,68809260.93,3.31
39797.95,70533269.27,3.31
49564.00,72294756.05,3.31
51598.81,71257153.10,3.34
38043.13,63655158.45,3.34
28179.65,58123736.70,3.34
18316.17,52592314.94,3.34
13558.90,51427095.66,3.27
18497.43,59999159.58,3.27
22079.20,66216219.36,3.27
25660.96,72433279.15,3.27
26721.11,76283432.42,3.35
22220.03,76197429.06,3.35
18889.85,76133798.28,3.35
15559.67,76070167.50,3.35
13308.23,76027483.53,3.35
13069.23,76024191.94,3.35
12892.99,76021764.83,3.35
12716.76,76019337.71,3.35
12601.75,76017192.73,3.35
12596.83,76014915.10,3.35
12593.16,76013215.76,3.35
12589.49,76011516.41,3.35
12744.80,76021735.18,3.34
13348.39,76065221.43,3.34
13804.08,76098052.20,3.34
14259.77,76130882.97,3.34
14399.00,75009530.39,3.35
13692.28,70389727.87,3.35
13160.56,66913916.95,3.35
12594.17,63211422.72,3.35
12458.80,59606230.23,3.30
13262.76,54024067.52,3.30
13864.92,49843039.57,3.30
14480.18,45571119.72,3.30
14687.10,42780133.66,3.26
13906.01,42748099.86,3.26
13318.82,42724018.39,3.26
12731.64,42699936.93,3.26
14136.44,46922433.73,3.28
21850.69,64946119.42,3.28
27624.96,78437223.50,3.28
33399.24,91928327.58,3.28
36265.31,100445021.93,3.37
31074.92,96033006.37,3.37
27109.21,92662019.89,3.37
23143.51,89291033.40,3.37
19339.26,86190010.85,3.35
17575.56,85383893.04,3.35
16149.61,84732143.38,3.35
14723.65,84080393.72,3.35
13484.81,83502182.01,3.35
13601.70,83494181.20,3.35
13695.78,83487741.37,3.35
13789.87,83481301.55,3.35
15989.72,83104768.53,3.35
27454.04,81096829.52,3.35
37003.84,79424214.43,3.35
46350.45,77787186.89,3.35
52567.55,74822473.82,3.34
41135.69,66427394.67,3.34
31766.28,59546891.70,3.34
22396.87,52666388.72,3.34
13698.56,46332447.53,3.26
13275.77,46327179.98,3.26
12927.43,46322839.90,3.26
12579.08,46318499.81,3.26
15027.90,46486318.17,3.26
30427.50,47440741.98,3.26
43054.21,48223309.61,3.26
55680.92,49005877.25,3.26
64876.56,49429479.72,3.31
50594.14,47678411.20,3.31
38725.16,46223237.95,3.31
26856.18,44768064.70,3.31
17267.82,44553461.57,3.28
27621.54,51558025.29,3.28
36623.50,57648087.02,3.28
45433.93,63608572.96,3.28
53938.44,69837989.14,3.29
53941.17,72803432.28,3.29
53943.46,75292683.27,3.29
53945.76,77781934.25,3.29
52330.91,80054742.19,3.38
41402.27,78949351.00,3.38
31888.29,77987048.09,3.38
