freq,util,power
1200000.00,69.43,5.41
1200000.00,69.33,5.41
1200000.00,69.24,5.41
1200000.00,69.44,5.41
1200000.00,69.96,5.41
1200000.00,70.29,5.41
1200000.00,70.56,5.41
1200000.00,69.57,5.32
1200000.00,68.86,5.32
1200000.00,68.14,5.32
1200000.00,68.22,5.32
1200000.00,68.99,5.32
1200000.00,69.45,5.32
1200000.00,69.66,5.32
1200000.00,69.46,5.32
1200000.00,69.25,5.40
1200000.00,69.11,5.40
1200000.00,69.00,5.40
1200000.00,68.90,5.40
1200000.00,68.76,5.43
1200000.00,68.85,5.43
1200000.00,69.17,5.43
1200000.00,69.42,5.43
1200000.00,69.83,5.66
1200000.00,75.17,5.66
1200000.00,80.12,5.66
1200000.00,85.09,5.66
1200000.00,89.81,6.12
1200000.00,90.26,6.12
1200000.00,90.63,6.12
1200000.00,91.01,6.12
1200000.00,91.18,6.14
1200000.00,90.60,6.14
1200000.00,90.15,6.14
1200000.00,89.70,6.14
1200000.00,89.09,6.17
1200000.00,90.69,6.17
1200000.00,94.57,6.17
1200000.00,96.78,6.17
1200000.00,98.89,6.46
1200000.00,99.15,6.46
1200000.00,99.40,6.46
1200000.00,99.65,6.46
1200000.00,99.92,6.50
1200000.00,100.00,6.50
1200000.00,100.00,6.50
1200000.00,100.00,6.50
1200000.00,100.00,6.48
1200000.00,100.00,6.48
1200000.00,100.00,6.48
1200000.00,100.00,6.48
1200000.00,100.00,6.50
1200000.00,100.00,6.50
1200000.00,100.00,6.50
1200000.00,100.00,6.50
1200000.00,99.52,6.33
1200000.00,97.52,6.33
1200000.00,95.99,6.33
1200000.00,94.46,6.33
1200000.00,93.39,6.47
1200000.00,95.24,6.47
1200000.00,96.77,6.47
1200000.00,98.29,6.47
1200000.00,100.00,6.52
1200000.00,100.00,6.52
1200000.00,100.00,6.52
1200000.00,100.00,6.52
1200000.00,100.00,6.52
1200000.00,100.00,6.52
1200000.00,100.00,6.52
1200000.00,100.00,6.52
1200000.00,100.00,6.50
1200000.00,100.00,6.50
1200000.00,100.00,6.50
1200000.00,100.00,6.50
1200000.00,100.00,6.54
1200000.00,100.00,6.54
1200000.00,100.00,6.54
1200000.00,100.00,6.54
1200000.00,100.00,6.53
1200000.00,100.00,6.53
1200000.00,100.00,6.53
1200000.00,100.00,6.53
1200000.00,100.00,6.54
1200000.00,100.00,6.54
1200000.00,100.00,6.54
1200000.00,100.00,6.54
1200000.00,100.00,6.54
1200000.00,100.00,6.54
1200000.00,100.00,6.54
1200000.00,100.00,6.54
1200000.00,100.00,6.55
1200000.00,100.00,6.55
1200000.00,100.00,6.55
1200000.00,100.00,6.55
