L1-dcache-loads,L1-dcache-stores,branch-instructions,branch-misses,cache-misses,cache-references,cpu-cycles,instructions,r110,r13C,r1A2,r1C2,power
4130638.61,4052739.83,1245165.38,173027.26,21863.22,4212178.23,16827662.26,8749682.73,157327.45,0.00,0.00,1708.28,3.13
4362992.54,4229563.40,1278165.95,169822.51,24063.10,4111634.89,16465203.81,8784954.04,151685.24,0.00,0.00,1841.84,3.13
4481631.59,4291216.90,1288854.61,167302.33,25183.59,4024901.39,16173398.72,8874343.67,148804.40,0.00,0.00,1914.66,3.13
4334220.14,3957842.01,1220319.55,162507.41,23766.70,3815237.09,15578780.37,9403407.26,152384.33,0.00,0.00,1865.71,3.13
4240518.83,3745934.04,1176755.61,159459.54,22866.06,3681965.09,15200814.38,9739703.71,154659.89,0.00,0.00,1834.59,3.13
4146817.52,3534026.07,1133191.67,156411.68,21965.42,3548693.10,14822848.40,10076000.16,156935.46,0.00,0.00,1803.47,3.13
4060734.56,3406118.71,1107686.46,154360.44,21023.14,3511696.21,14721825.73,10257530.84,159042.70,0.00,0.00,1775.80,3.13
3838720.66,3443768.84,1121811.82,153191.91,17960.65,3886565.22,15816516.82,10024331.79,164569.33,0.00,0.00,1709.51,3.12
3692011.99,3468648.36,1131145.98,152419.74,15936.93,4134281.86,16539898.02,9870231.87,168221.38,0.00,0.00,1665.70,3.12
3542114.00,3494068.74,1140683.06,151630.78,13869.22,4387383.63,17279004.89,9712781.95,171952.81,0.00,0.00,1620.94,3.12
3479141.73,3545457.41,1153000.13,151577.87,12661.65,4538717.44,17719161.09,9577227.41,173779.07,0.00,0.00,1600.41,3.12
3829043.60,3867967.23,1208689.23,156032.10,14309.19,4370053.82,17210044.69,9293707.82,167495.30,0.00,0.00,1688.72,3.13
4064773.35,4085242.88,1246207.11,159032.92,15419.14,4256424.73,16867051.73,9102699.98,163261.90,0.00,0.00,1748.22,3.13
4300503.09,4302518.53,1283725.00,162033.74,16529.09,4142795.64,16524058.77,8911692.14,159028.50,0.00,0.00,1807.71,3.13
4469367.26,4456549.37,1306781.17,164087.79,17456.07,4041413.42,16218452.01,8807403.93,155988.37,0.00,0.00,1844.92,3.13
4339403.98,4316928.44,1239157.98,161258.75,18464.63,3858475.07,15671391.10,9312583.93,158229.47,0.00,0.00,1745.59,3.13
4250826.13,4221768.32,1193068.67,159330.59,19152.03,3733791.49,15298535.93,9656894.73,159756.91,0.00,0.00,1677.90,3.13
4160322.67,4124539.50,1145977.43,157360.52,19854.36,3606397.40,14917575.21,10008690.53,161317.56,0.00,0.00,1608.73,3.13
4075790.20,4036827.09,1110339.72,155792.95,20732.45,3530881.39,14802687.58,10297681.59,163475.74,0.00,0.00,1636.59,3.13
3878669.89,3868049.87,1123461.72,155279.45,25340.33,3855969.42,17312459.71,10515104.47,176584.12,0.00,0.00,2767.39,3.13
3740746.42,3749957.83,1132643.08,154920.16,28564.43,4083430.85,19068526.71,10667233.49,185755.94,0.00,0.00,3558.60,3.13
3602822.95,3631865.79,1141824.43,154560.87,31788.52,4310892.28,20824593.71,10819362.50,194927.76,0.00,0.00,4349.82,3.13
3483169.70,3542561.60,1153301.62,154548.06,34374.36,4505189.18,22283329.29,10920535.87,202402.69,0.00,0.00,4999.20,3.13
3502043.09,3856649.38,1231647.30,161371.67,29146.90,4405306.94,20576316.08,10201542.10,190224.46,0.00,0.00,4051.86,3.14
3515215.66,4075865.06,1286328.20,166134.17,25498.42,4335594.74,19384916.43,9699724.70,181724.73,0.00,0.00,3390.67,3.14
3528388.23,4295080.73,1341009.10,170896.67,21849.94,4265882.53,18193516.79,9197907.30,173225.00,0.00,0.00,2729.47,3.14
3547364.32,4490526.99,1389279.92,174993.59,18596.79,4194211.76,17082542.86,8757813.53,165400.06,0.00,0.00,2122.42,3.14
3759702.10,4370016.36,1344613.66,167845.84,20594.28,3943558.40,16257091.92,9255690.58,162578.09,0.00,0.00,1952.98,3.13
3914552.01,4282132.50,1312040.24,162633.26,22050.98,3760766.38,15655121.75,9618773.50,160520.13,0.00,0.00,1829.41,3.13
4069401.93,4194248.65,1279466.82,157420.68,23507.68,3577974.36,15053151.58,9981856.42,158462.17,0.00,0.00,1705.84,3.13
4219328.68,4105049.51,1246898.38,152309.20,24926.41,3398412.11,14472425.10,10339283.23,156519.89,0.00,0.00,1583.50,3.13
4011876.47,3913610.21,1212995.44,154431.17,23603.35,3449055.13,15437269.66,10295813.88,163057.05,0.00,0.00,1545.64,3.13
3857516.40,3771164.94,1187769.09,156010.08,22618.89,3486737.36,16155186.73,10263469.40,167921.19,0.00,0.00,1517.48,3.13
3703156.32,3628719.68,1162542.74,157588.98,21634.44,3524419.58,16873103.80,10231124.92,172785.34,0.00,0.00,1489.31,3.13
3548796.24,3486274.41,1137316.39,159167.88,20649.98,3562101.80,17591020.87,10198780.44,177649.48,0.00,0.00,1461.14,3.13
3535781.68,3614831.23,1174420.51,162358.00,19889.05,3667746.40,17533203.57,9973168.32,176123.90,0.00,0.00,1430.34,3.12
3518489.32,3959178.23,1272152.53,170370.64,18041.09,3934615.20,17310278.65,9398239.96,171707.19,0.00,0.00,1354.31,3.12
3508167.67,4164715.81,1330487.87,175153.31,16938.06,4093906.74,17177216.81,9055070.49,169070.90,0.00,0.00,1308.92,3.12
3497846.02,4370253.39,1388823.22,179935.98,15835.03,4253198.28,17044154.97,8711901.02,166434.61,0.00,0.00,1263.54,3.12
3604972.18,4359125.14,1373151.32,178848.30,16439.09,4149430.88,16642504.58,8902095.86,164898.01,0.00,0.00,1341.80,3.13
3885857.05,4288445.72,1320525.53,175046.92,18235.01,3847049.96,15624239.93,9466721.80,161434.19,0.00,0.00,1554.66,3.13
4058810.74,4244925.16,1288121.42,172706.23,19340.84,3660860.16,14997247.71,9814387.88,159301.36,0.00,0.00,1685.74,3.13
4231764.43,4201404.60,1255717.30,170365.54,20446.67,3474670.37,14370255.48,10162053.96,157168.53,0.00,0.00,1816.81,3.13
4142370.54,4089220.37,1233917.57,167848.41,20303.12,3458114.88,14338597.58,10190121.58,159682.65,0.00,0.00,1765.68,3.13
3827713.82,3803183.01,1188337.26,162000.26,19451.97,3490991.85,14514643.43,10121014.13,167391.20,0.00,0.00,1572.29,3.13
3633317.57,3626467.92,1160177.56,158387.25,18926.12,3511303.38,14623405.29,10078319.25,172153.57,0.00,0.00,1452.81,3.13
3438921.31,3449752.82,1132017.85,154774.25,18400.28,3531614.92,14732167.16,10035624.38,176915.95,0.00,0.00,1333.33,3.13
3411762.12,3428885.96,1161454.94,157531.83,17436.61,3635584.10,15038270.61,9842056.36,176482.04,0.00,0.00,1163.62,3.13
3437037.06,3462394.29,1257075.05,166991.44,15051.92,3911623.82,15825764.47,9330643.24,172833.69,0.00,0.00,757.50,3.13
3453139.88,3483742.66,1317995.22,173018.21,13532.62,4087490.45,16327481.71,9004818.75,170509.30,0.00,0.00,498.75,3.13
3469242.70,3505091.02,1378915.39,179044.99,12013.32,4263357.08,16829198.95,8678994.26,168184.92,0.00,0.00,240.01,3.13
3689621.95,3688467.51,1395630.95,181995.05,16028.98,4281132.76,17075895.42,8784873.73,165237.51,0.00,0.00,406.36,3.14
4304197.66,4193912.40,1397632.51,185879.17,28582.19,4200248.06,17402395.45,9329414.93,158594.12,0.00,0.00,1072.73,3.14
4702626.43,4521591.77,1398930.11,188397.24,36720.42,4147810.59,17614065.06,9682440.40,154287.22,0.00,0.00,1504.74,3.14
5101055.20,4849271.15,1400227.72,190915.30,44858.66,4095373.12,17825734.68,10035465.88,149980.32,0.00,0.00,1936.74,3.14
5083048.77,4768465.64,1364959.08,187668.69,43919.87,4007026.52,17509785.12,10139195.90,150104.89,0.00,0.00,1988.29,3.13
4656936.42,4225980.30,1261116.44,175859.73,33554.69,3799138.58,16391886.44,10109902.43,154507.14,0.00,0.00,1733.08,3.13
4377263.30,3869927.33,1192960.71,168109.08,26751.65,3662694.12,15658168.65,10090676.05,157396.50,0.00,0.00,1565.57,3.13
4097590.17,3513874.37,1124804.98,160358.42,19948.61,3526249.66,14924450.85,10071449.67,160285.86,0.00,0.00,1398.07,3.13
3940059.30,3403857.83,1107143.79,161322.58,16988.69,3603076.42,15061622.54,9891350.84,162572.26,0.00,0.00,1255.02,3.13
3767095.83,3457240.30,1127630.90,172634.91,15416.41,3983086.24,16271205.46,9367963.78,166350.27,0.00,0.00,1004.29,3.13
3651371.05,3492956.94,1141338.23,180203.65,14364.44,4237339.65,17080501.86,9017780.88,168878.03,0.00,0.00,836.53,3.13
3535646.27,3528673.58,1155045.56,187772.40,13312.48,4491593.06,17889798.25,8667597.98,171405.79,0.00,0.00,668.77,3.13
3901368.78,3627467.69,1174983.96,188753.06,21445.23,4538554.73,18018704.88,9272590.20,172371.47,0.00,0.00,2465.76,3.13
5224556.88,3895849.12,1220506.61,181824.78,48846.61,4350637.26,17354777.68,11672535.33,172098.01,0.00,0.00,8434.30,3.13
6133896.19,4080289.86,1251791.31,177063.43,67677.75,4221494.07,16898504.60,13321858.24,171910.08,0.00,0.00,12536.08,3.13
7043235.50,4264730.60,1283076.00,172302.08,86508.90,4092350.87,16442231.52,14971181.16,171722.15,0.00,0.00,16637.86,3.13
11854447.17,9154726.14,2999366.03,234488.25,110608.25,9963357.71,31544098.02,26400687.29,228298.48,0.00,0.00,27492.71,3.15
26194367.31,24935377.83,8592583.79,446755.89,159165.46,29481342.73,81952058.83,61299387.32,414662.50,0.00,0.00,56503.90,3.15
36173811.27,35917456.38,12485018.53,594477.29,192957.42,43064308.04,117031990.63,85586107.06,544357.04,0.00,0.00,76693.38,3.15
46153255.24,46899534.92,16377453.27,742198.69,226749.37,56647273.36,152111922.42,109872826.79,674051.58,0.00,0.00,96882.86,3.15
52435626.70,53474925.25,18669274.84,804388.38,230518.87,63671797.23,168734739.50,125592813.79,738170.01,0.00,0.00,104202.80,3.49
55154834.63,55253609.57,19160705.45,734076.07,176904.72,61894607.68,158693044.68,133756437.43,710598.72,0.00,0.00,90358.99,3.49
