freq,util,power
600000.00,59.94,3.81
600000.00,59.50,3.83
600000.00,58.18,3.83
600000.00,57.37,3.83
600000.00,56.58,3.83
600000.00,56.58,3.81
600000.00,56.58,3.81
600000.00,56.58,3.81
600000.00,56.57,3.81
600000.00,56.43,3.80
600000.00,56.33,3.80
600000.00,56.23,3.80
600000.00,56.21,3.80
600000.00,56.56,3.80
600000.00,56.79,3.80
600000.00,57.02,3.80
600000.00,57.28,3.80
600000.00,58.16,3.82
600000.00,58.72,3.82
600000.00,59.27,3.82
600000.00,59.15,3.82
600000.00,57.27,3.80
600000.00,56.14,3.80
600000.00,55.02,3.80
600000.00,54.93,3.80
600000.00,55.49,3.80
600000.00,55.82,3.80
600000.00,56.15,3.80
600000.00,56.42,3.80
600000.00,57.43,3.81
600000.00,57.97,3.81
600000.00,58.39,3.81
600000.00,57.63,3.81
600000.00,56.68,3.82
600000.00,55.97,3.82
600000.00,55.26,3.82
600000.00,55.34,3.82
600000.00,55.43,3.80
600000.00,55.50,3.80
600000.00,55.55,3.80
600000.00,55.51,3.80
600000.00,55.46,3.80
600000.00,55.43,3.80
600000.00,55.61,3.80
600000.00,56.88,3.80
600000.00,58.30,3.80
600000.00,59.35,3.80
600000.00,60.01,3.80
600000.00,60.08,3.80
600000.00,60.17,3.85
600000.00,60.23,3.85
600000.00,60.11,3.85
600000.00,59.39,3.85
600000.00,58.65,3.84
600000.00,58.10,3.84
600000.00,57.89,3.84
600000.00,57.89,3.84
600000.00,57.89,3.81
600000.00,57.89,3.81
600000.00,58.00,3.81
600000.00,58.36,3.81
600000.00,58.71,3.80
600000.00,58.97,3.80
600000.00,58.71,3.80
600000.00,57.92,3.80
600000.00,57.21,3.80
600000.00,56.73,3.80
600000.00,56.38,3.80
600000.00,56.06,3.80
600000.00,55.62,3.80
600000.00,55.54,3.80
600000.00,56.44,3.80
600000.00,57.20,3.80
600000.00,58.26,3.84
600000.00,58.68,3.84
600000.00,58.77,3.84
600000.00,58.85,3.84
600000.00,58.94,3.81
600000.00,58.73,3.81
600000.00,57.63,3.81
600000.00,56.76,3.81
600000.00,55.58,3.81
600000.00,55.33,3.81
600000.00,55.62,3.81
600000.00,55.84,3.81
600000.00,56.13,3.81
600000.00,56.22,3.81
600000.00,56.42,3.81
600000.00,56.57,3.81
600000.00,56.75,3.81
600000.00,56.76,3.81
600000.00,56.76,3.81
600000.00,56.76,3.81
600000.00,56.76,3.81
600000.00,56.81,3.81
600000.00,56.86,3.81
600000.00,56.90,3.81
600000.00,56.98,3.80
600000.00,57.30,3.80
600000.00,57.61,3.80
600000.00,57.92,3.80
600000.00,58.18,3.80
600000.00,57.78,3.80
600000.00,57.43,3.80
600000.00,57.08,3.80
600000.00,56.65,3.81
600000.00,56.09,3.81
600000.00,55.62,3.81
600000.00,55.13,3.81
600000.00,54.95,3.81
600000.00,55.66,3.81
600000.00,56.21,3.81
600000.00,56.76,3.81
600000.00,57.06,3.85
600000.00,56.71,3.85
600000.00,56.46,3.85
600000.00,56.20,3.85
600000.00,56.05,3.83
600000.00,56.28,3.83
600000.00,56.46,3.83
600000.00,56.64,3.83
600000.00,56.84,3.81
600000.00,57.15,3.81
600000.00,57.37,3.81
600000.00,57.59,3.81
600000.00,57.78,3.81
600000.00,58.04,3.81
600000.00,58.22,3.81
600000.00,58.40,3.81
600000.00,58.22,3.80
600000.00,57.59,3.80
600000.00,57.18,3.80
600000.00,56.78,3.80
600000.00,56.87,3.81
600000.00,57.14,3.81
600000.00,57.31,3.81
600000.00,57.48,3.81
600000.00,57.78,3.81
600000.00,58.54,3.81
600000.00,59.02,3.81
600000.00,59.49,3.81
600000.00,59.05,3.78
600000.00,57.96,3.78
600000.00,57.30,3.78
600000.00,56.82,3.78
600000.00,57.75,3.79
600000.00,58.40,3.79
600000.00,59.06,3.79
600000.00,59.73,3.79
600000.00,59.09,3.83
600000.00,57.42,3.83
600000.00,56.41,3.83
600000.00,55.55,3.83
600000.00,55.50,3.79
600000.00,55.47,3.79
600000.00,55.43,3.79
600000.00,55.49,3.79
600000.00,56.40,3.78
600000.00,56.99,3.78
600000.00,57.59,3.78
600000.00,57.95,3.78
600000.00,58.35,3.83
600000.00,58.60,3.83
600000.00,58.84,3.83
600000.00,58.90,3.83
600000.00,58.42,3.80
600000.00,58.12,3.80
600000.00,57.80,3.80
600000.00,57.57,3.80
600000.00,56.97,3.81
600000.00,56.61,3.81
600000.00,56.24,3.81
600000.00,56.16,3.81
600000.00,56.16,3.80
600000.00,56.16,3.80
600000.00,56.16,3.80
600000.00,56.15,3.80
600000.00,56.07,3.80
